local_name,english_name,language,countries,regions,time_of_day,type_of_dish,type_of_dish_more,drink,occasions,occasions_more
qanchibelo,NULL,Burji,Kenya,North,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Nyenyi,NULL,Embu,Kenya,Eastern,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Nduma,Arrow roots,Gikuyu,Kenya,NULL,['breakfast'],['Side dish'],NULL,"tea, coffee",regular,NULL
"Chinderema, nderema, mrenda",Bacella alba,Gusii,Kenya,Western,"['lunch', 'dinner']",['Side dish'],NULL,no,regular,NULL
Maroranu,Sour milk,Gusii,Kenya,Kisii county,"['lunch', 'dinner']",['Side dish'],Its eaten with ugali/sima,no,regular,NULL
Chinsaga/saget,African spider plant,"Gusii, Kalenjin",Kenya,NULL,"['lunch', 'dinner']",['Main dish - eaten with sides'],Chinsaga/saget is a popular accompaniment for ugali/sima,no,regular,NULL
"Masosa, mseveve",Pumpkin leaves,"Gusii, Luhya",Kenya,NULL,"['lunch', 'dinner']",['Side dish'],NULL,no,regular,NULL
Mcheleng,NULL,Kalenjin,Kenya,Rift valley,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
Mursik,Fermented Milk,Kalenjin,Kenya,Rift Valley,['anytime'],"['Side dish', 'Other']",Drink,NULL,regular,NULL
nzenga,NULL,Kamba,Kenya,Eastern Kenya,"['lunch', 'dinner']","['Side dish', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,regular,NULL
Muthokoi,Dehulled Maize and Beans,Kamba,Kenya,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Gìtwero,geh-twe-roh,Embu,Kenya,Eastern,"['breakfast', 'lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
GITHERI,Maize and beans stew,Kikuyu,Kenya,Central,"['lunch', 'dinner']","['Soup', 'Main dish - stand alone (e.g. one pot meal)']",NULL,no,regular,NULL
Mukimo,NULL,Kikuyu,Kenya,Central,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,Any,both,Weddings and related ceremonies
Mùtura,Moh-too-rah,Kikuyu,Kenya,Non-specific,"['snack', 'anytime']","['Starter', 'Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,NULL
GITHERI,NULL,Kikuyu,Kenya,Central,['dinner'],['Main dish - stand alone (e.g. one pot meal)'],NULL,No,regular,NULL
Mukimo,NULL,Kikuyu,Kenya,NULL,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,No,regular,Weddings
Matoke,NULL,Kisii,Kenya,Western,['anytime'],"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Chapo madondo,Chapati served with beans,Kiswahili,Kenya,Non-specific,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,water,regular,NULL
Ndengu,Lentils or Mung beans,Kiswahili,Kenya,"Eastern,Coast","['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,"any drink, water.",regular,NULL
Ugali ya Wimbi,Millet Ugali,Kiswahili,Kenya,Western,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,both,NULL
Chicken Biryani,NULL,Kiswahili,Kenya,Coast,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,no,both,weddings
Kachumbari,Kenyan kachumbari salad,Kiswahili,Kenya,Coast,['other'],['Small plate / bowl served as a part of a collection'],NULL,no,regular,NULL
Mahamri,Coconut & cardamom doughnuts,Kiswahili,Kenya,Coast,['breakfast'],['Main dish - stand alone (e.g. one pot meal)'],NULL,"tea, coffee",regular,NULL
Uji,Porridge,Kiswahili,Kenya,Non-specific,['breakfast'],['Main dish - stand alone (e.g. one pot meal)'],NULL,no,regular,NULL
Malenge,Pumpkin,Kiswahili,Kenya,Non-specific,"['breakfast', 'lunch']",['Main dish - stand alone (e.g. one pot meal)'],NULL,no,regular,NULL
Mandazi,Biegnets,Kiswahili,Kenya,Non-specific,['breakfast'],['Other'],It is eaten with tea mostly for breakfast,"tea, coffee",regular,NULL
mishkaki,NULL,Kiswahili,Kenya,coast,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
mkate kuta,NULL,Kiswahili,Kenya,"nairobi, other parts in kenya",['snack'],['Other'],NULL,NULL,special,made on wedding day when bride was being escorted
vimumunyu vya sukari,pumpkin in coconut dessert,Kiswahili,Kenya,coast,['snack'],['Dessert'],NULL,NULL,regular,NULL
Katlesi,NULL,Kiswahili,Kenya,Coast,['anytime'],['Other'],NULL,NULL,regular,NULL
Juice ya Ukwaju,Tamarind juice,Kiswahili,Kenya,Coast,['anytime'],['Other'],Its a juice,no,regular,NULL
Mabuyu,Baobab tree fruit candy,Kiswahili,Kenya,Coast,['snack'],['Other'],It a snack just like any other candy,no,regular,NULL
Tambi Nyekundu,Stir Fried sweet vermicelli,Kiswahili,Kenya,Coast,['snack'],"['Small plate / bowl for sharing', 'Dessert']",NULL,NULL,regular,NULL
Bhajia za kunde,NULL,Kiswahili,Kenya,Coast,['snack'],['Other'],NULL,NULL,regular,NULL
Tambi za papayu,NULL,Kiswahili,Kenya,Coast,['snack'],['Dessert'],NULL,NULL,special,Nice treat for Ramadhan
Kashata,NULL,Kiswahili,Kenya,Coast,['snack'],['Dessert'],NULL,NULL,regular,NULL
Fried muhugo,Fried cassava,Kiswahili,Kenya,Coast,['snack'],['Other'],NULL,NULL,regular,NULL
Samaki wa kupaka,NULL,Kiswahili,Kenya,Coast,['lunch'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Sukuma wiki,Collard greens,Kiswahili,Kenya,Non-specific,"['lunch', 'dinner']",['Side dish'],NULL,no,regular,NULL
Ugali/Sima,Pound maize flour,Kiswahili,Kenya,Western,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,no,regular,NULL
Nyama choma,Smoked and grilled meat,Kiswahili,Kenya,Non-specific,"['lunch', 'dinner']",['Main dish - eaten with sides'],Nyamachoma is eaten mostly with ugali and veges,Beer,regular,NULL
Managu,African Nightshade,Kiswahili,Kenya,Non-specific,"['lunch', 'dinner']",['Salad'],NULL,NULL,regular,NULL
Chapo,Cha-pa-ti or Cha-poh,Kiswahili,Kenya,Non-specific,['anytime'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Chips Masala,NULL,Kiswahili,Kenya,Non-specific,['anytime'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Viazi vitamu,NULL,Kiswahili,Kenya,Coast,['anytime'],['Side dish'],NULL,NULL,regular,NULL
Viazi vya karai,NULL,Kiswahili,Kenya,Coast,['snack'],['Small plate / bowl for sharing'],NULL,Chai,regular,NULL
Vibibi,NULL,Kiswahili,Kenya,Coast,['breakfast'],['Main dish - stand alone (e.g. one pot meal)'],NULL,Tea,regular,NULL
Vitumbua,NULL,Kiswahili,Kenya,Coast,['snack'],['Dessert'],Desert because it is  sweet.,Tea,regular,NULL
busara,type of porridge,Kuria,Kenya,Southern Kenya,['anytime'],"['Main dish - stand alone (e.g. one pot meal)', 'Other']",Porridge can be a meal by itself as it is heavy,NULL,special,special drink given to lactating mothers
Muduya,NULL,Luhya,Kenya,Western,['lunch'],['Side dish'],NULL,NULL,regular,NULL
Omushenye,NULL,Luhya,Kenya,Western Kenya,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
Tziswa,Tzis-wah,Luhya,Kenya,Western,"['dinner', 'snack']",['Side dish'],NULL,none,regular,During the Rainy Season
aluru,NULL,"Luhya, Dholuo",Kenya,western,['other'],['Main dish - eaten with sides'],NULL,NULL,special,NULL
ONDELO,Roasted Maize Grains,Luo,Kenya,LAKESIDE,"['breakfast', 'snack']",['Side dish'],Dried maize grains sprayed with salt water fried in a pot without using cooking oil.,"water, tea",regular,NULL
Orenge,Orenge,Luo,Kenya,Western,['anytime'],['Soup'],NULL,NULL,regular,NULL
Aliya,NULL,Luo,Kenya,Luo,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,special,NULL
Magira/Dengu,NULL,Luo,Kenya,Nyanza,['anytime'],"['Sauce', 'Other']",NULL,NULL,both,NULL
Omena,Sardines,Luo,Kenya,Nyanza,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,"Water, fresh juice",regular,NULL
munono,NULL,Maasai,Kenya,Southern,['other'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Gurdo marqa,ugali in sour milk,"Oromo, Burji",Kenya,North,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
lolon chomi suton,ash yoghurt,Pokot,Kenya,Northern Kenya,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Ikalanga,sheep tail fat,"Rendille, Borana, Gabbra , Maasai",Kenya,"North, Rift Valley","['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
Arosto,NULL,Somali,Kenya,Northern kenya,['lunch'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
kitojo,sweet potato leaves fried,Taita,Kenya,Coastal region (taita-taveta county),"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
Ndoto,NULL,Taita,Kenya,Coastal region :Taita-taveta county,['other'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,special,"Girls inititiation, preparation for marriage"
Wukunu,NULL,Taita,Kenya,Coast,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,special,"Burials, weddings and other special occasions"
Kimanga cha ndizi,NULL,"Taita, Kiswahili",Kenya,Coast (taita-taveta county),"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Chiwaya,Chips,Chichewa,Malawi,NULL,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,Optional,regular,NULL
Taco,Tah-co,Mexican Spanish,Mexico,This is debated.,"['breakfast', 'dinner', 'snack', 'anytime']","['Starter', 'Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,NULL
Tlayuda,NULL,Náhuatl,Mexico,Oaxaca (Mexico),['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Sope,NULL,Náhuatl,Mexico,"Jalisco (Mexico),",['anytime'],"['Starter', 'Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides', 'Small plate / bowl for sharing']",NULL,NULL,both,NULL
Chilaquiles,NULL,Náhuatl,Mexico,Jalisco (Mexico),"['breakfast', 'lunch']",['Main dish - eaten with sides'],NULL,NULL,both,NULL
Taco,Taco,Náhuatl,Mexico,Jalisco (Mexico),['anytime'],"['Starter', 'Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,"birthdays, parties"
Pozole (Pozolli),NULL,Náhuatl,Mexico,Jalisco (Mexico),"['lunch', 'dinner']","['Soup', 'Main dish - stand alone (e.g. one pot meal)', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,"Birthdays, parties, national holidays"
Tamal (Tamalli),Tamale,Náhuatl,Mexico,Jalisco (Mexico),['anytime'],"['Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides', 'Dessert']",NULL,Atole,both,NULL
Portuguese chicken,Portuguese chicken,Hhuku,Mozambique,Maputo,['anytime'],"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,"Any soft drink, beer",regular,NULL
Matapa com caranguejo,NULL,Portuguese,Mozambique,"Maputo, Inhambane, Gaza","['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,both,Marriages
मम,Momo,Nepali,Nepal,NULL,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Oliebollen,"oil balls, doughnut",Dutch,Netherlands,NULL,['dinner'],['Dessert'],NULL,NULL,special,New Year's Eve dinner
huzarensalade,Hussar's salad,Dutch,Netherlands,Rotterdam,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,special,Christmas
Boterkoek,Butter cake,Dutch,Netherlands,Rotterdam,"['snack', 'anytime']",['Dessert'],NULL,tea,both,Christmas
Dutch,Dutch baby pancakes,Dutch,Netherlands,NULL,"['breakfast', 'lunch']","['Starter', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection', 'Dessert']",NULL,NULL,regular,NULL
Nacatamale,NULL,Nawat,Nicaragua,All regions,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Danwake da mai da yaji,Bean dumpling,Hausa,"Niger, Nigeria",North,['anytime'],"['Starter', 'Main dish - stand alone (e.g. one pot meal)', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Hausa Masa or Waina,Hausa Rice Pancake,Hausa,"Niger, Nigeria",North,"['breakfast', 'lunch', 'snack']",['Side dish'],NULL,NULL,regular,NULL
FURA,Millet dough ball,"Hausa, Fulani","Niger, Nigeria",NULL,"['breakfast', 'lunch', 'dinner', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,Water,regular,NULL
Edesi Isip,Nigerian Coconot Rice,Efik,Nigeria,South,['anytime'],"['Starter', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,both,NULL
Edikang Ikong,Edi-kang Ikong,Efik,Nigeria,South,['anytime'],"['Soup', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,"Weddings, Celebrations in General"
Egusi,Melon soup,Efik,Nigeria,"South West, Yoruba","['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,"Water, palm wine",regular,NULL
Concoction Rice,NULL,English,Nigeria,All regions,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Meat Pie,NULL,English,Nigeria,NULL,['snack'],['Starter'],NULL,NULL,regular,NULL
Buns,NULL,English,Nigeria,NULL,['snack'],['Starter'],NULL,NULL,regular,NULL
Fried Rice,Fried Rice,English,Nigeria,NULL,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,special,NULL
black soup,black soup,English,Nigeria,south south,['anytime'],['Soup'],NULL,NULL,both,NULL
Okra soup,Okra,English,Nigeria,"South East, South South",['lunch'],['Soup'],NULL,No,regular,NULL
Pepper soup,Pepper soup,English,Nigeria,Nigeria,['anytime'],['Starter'],NULL,"Coca Cola,  Beer",both,NULL
Semo Vita,NULL,English,Nigeria,Yoruba,['dinner'],['Main dish - stand alone (e.g. one pot meal)'],NULL,Yes,both,"Anniversary, Wedding, Special Occasion"
Pounded yam(iyan) and Obe ishapa,Pounded Yam and Roselle Soup,"English, Yoruba",Nigeria,South-west,"['lunch', 'dinner', 'anytime']",['Main dish - eaten with sides'],NULL,Water,both,NULL
Tuwon Shikafa,NULL,Hausa,Nigeria,north,"['dinner', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,Water,both,NULL
Kuli Kuli,Kúlí-kúlí,Hausa,Nigeria,north,['snack'],['Starter'],NULL,NULL,regular,NULL
Kwadon Lansir,Cress salad,Hausa,Nigeria,North,"['breakfast', 'lunch', 'anytime']","['Starter', 'Salad', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Tsakin Pate,Braised maize porridge,Hausa,Nigeria,North,['anytime'],['Main dish - eaten with sides'],NULL,NULL,special,traditional events like meetings and weddings
Miyan Kuka,Boabab leaf soup,Hausa,Nigeria,north,"['lunch', 'dinner']","['Soup', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Áwárá,Tofu,Hausa,Nigeria,North,"['breakfast', 'dinner', 'snack', 'anytime']","['Starter', 'Dessert']",NULL,NULL,regular,NULL
Afere Afang,Á-fé-ré Á-fan,Ibibio,Nigeria,South-south,"['lunch', 'dinner', 'anytime']","['Soup', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Edita-ewa,NULL,"Ibibio, Efik",Nigeria,South South,['lunch'],['Side dish'],NULL,NULL,regular,NULL
Atama soup,A-ta-ma,"Ibibio, Efik",Nigeria,south south,['lunch'],['Soup'],NULL,no,regular,NULL
Banga soup,Ban-ga,"Ibibio, Efik",Nigeria,South South,['anytime'],"['Soup', 'Sauce']",NULL,no,special,NULL
Ede ahuru ahu,Roasted coco-yam,Igbo,Nigeria,East,"['breakfast', 'lunch', 'dinner', 'snack', 'anytime']",['Main dish - eaten with sides'],NULL,Palm wine,both,NULL
Akidi,Black Beans Pottage,Igbo,Nigeria,South East,['breakfast'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Ofe Akparata,Mahogany seed,Igbo,Nigeria,NULL,['lunch'],['Soup'],NULL,NULL,both,NULL
Ofe Ugba,U-gba,Igbo,Nigeria,South East,['lunch'],['Soup'],NULL,NULL,regular,NULL
Abacha,African salad,Igbo,Nigeria,East,"['lunch', 'dinner', 'snack']","['Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,traditional events like meetings and weddings
ofe Nsala,white soup,Igbo,Nigeria,South east and South south,['lunch'],['Soup'],NULL,yes,special,NULL
Ofe Olubu,Bitter leaf soup,Igbo,Nigeria,"south south, south east",['lunch'],['Soup'],NULL,no,regular,NULL
Ofe Oha,No,Igbo,Nigeria,South East,['dinner'],['Soup'],NULL,not really,both,NULL
Ofe Achi,No,Igbo,Nigeria,South East,['lunch'],['Soup'],NULL,no,regular,NULL
Okpa,Ó-kpa,Igbo,Nigeria,East,"['breakfast', 'snack']",['Starter'],NULL,Any drink,regular,NULL
Úkwà,Breadfruit pottage,Igbo,Nigeria,East,"['breakfast', 'lunch', 'dinner', 'anytime']",['Main dish - eaten with sides'],NULL,Palm wine,both,NULL
Ofe Okazi,O-fé Ó-ka-zi,Igbo,Nigeria,East,"['lunch', 'dinner']",['Soup'],NULL,Any drink,both,NULL
Ikokore,Cocoyam/ Wateryam porridge,Ijebu,Nigeria,South-west,"['lunch', 'dinner', 'anytime', 'other']","['Soup', 'Main dish - stand alone (e.g. one pot meal)']",NULL,Water,both,Family celebrations or royal celebrations
Ebiripo,Steamed cocoyam pudding,"Ijebu, Remo",Nigeria,South-West,['anytime'],['Main dish - eaten with sides'],NULL,NULL,both,"Family celebrations, general holidays"
Small chops,Finger foods,Pidgin,Nigeria,All regions,['snack'],"['Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,Formal and informal events
Diet,Nigerian pancake,Unknown,Nigeria,"East, West, North, south","['breakfast', 'snack']","['Starter', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Puff-Puff,Fried Dough,Unknown,Nigeria,NULL,['snack'],['Starter'],NULL,NULL,regular,NULL
Akamu,Pap,Igbo,Nigeria,NULL,['breakfast'],['Starter'],NULL,NULL,regular,NULL
Dodo ikire,Plantain snack,Yoruba,Nigeria,South west,"['snack', 'anytime']",['Dessert'],NULL,NULL,regular,NULL
Eba,Cooked garri,Yoruba,Nigeria,"Yoruba, Igbo","['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,Water,regular,NULL
Eko or Agidi,Corn meal,Yoruba,Nigeria,Southwest,"['breakfast', 'lunch', 'dinner', 'snack', 'anytime']","['Starter', 'Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,Water,regular,NULL
Beans and yam porridge,NULL,Yoruba,Nigeria,All part of Nigeria,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Iyan ati efo,Pounded Yam and vegetables,Yoruba,Nigeria,Ekiti,['lunch'],['Main dish - eaten with sides'],NULL,"Water,  soft drinks",both,NULL
Ofada,Nigerian brown rice,Yoruba,Nigeria,All part of Nigeria,['anytime'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Ekuru ati ata dindin,E/ku/ru,Yoruba,Nigeria,South west,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,both,When celebrating twins
Dodo Oniyeri,Fried plantain in Egg Blanket,Yoruba,Nigeria,Southwestern Nigeria,['anytime'],['Small plate / bowl for sharing'],NULL,NULL,regular,NULL
Ìṣu sisun ati Epo pupa,Roasted yam and palm oil,Yoruba,Nigeria,Southwest Nigeria,"['lunch', 'snack']","['Starter', 'Small plate / bowl for sharing']",NULL,NULL,regular,NULL
Dundun / Isu Didin ati Ata Dindin,Fried Yam and Fried Sauce,Yoruba,Nigeria,NULL,['lunch'],['Starter'],NULL,NULL,regular,NULL
Adalu,Beans and Corn pottage,Yoruba,Nigeria,South-west,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,Water,both,NULL
Egbo,NULL,Yoruba,Nigeria,South-west,['anytime'],"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Water,both,NULL
EKURU,NULL,Yoruba,Nigeria,South-west,"['breakfast', 'lunch', 'dinner', 'snack', 'anytime', 'other']","['Main dish - eaten with sides', 'Other']",NULL,Water,both,NULL
Emu,Palm wine,Yoruba,Nigeria,South-west,['other'],['Starter'],NULL,NULL,both,NULL
Boli ati Epa,Roasted Plantain and Groundnut,Yoruba,Nigeria,Southwest Nigeria,['snack'],['Starter'],NULL,NULL,regular,NULL
Aadun,Sweetness,Yoruba,Nigeria,Southwest Nigeria,['snack'],['Starter'],NULL,NULL,regular,NULL
Pupuru,Instant cassava flour,Yoruba,Nigeria,South West,"['lunch', 'dinner']","['Side dish', 'Small plate / bowl served as a part of a collection']",NULL,No,regular,NULL
Garri ati Epa,Cassava flakes and roasted groundnut,Yoruba,Nigeria,NULL,['snack'],['Starter'],NULL,Cold water,regular,NULL
Moi Moi Eleyin,Boiled Bean Pudding with Boiled Eggs,Yoruba,Nigeria,NULL,['breakfast'],['Small plate / bowl served as a part of a collection'],NULL,NULL,regular,NULL
Indomie ati Eyin ati Dodo,Indomie Noodles with Egg and Plaintain,Yoruba,Nigeria,NULL,['anytime'],['Small plate / bowl for sharing'],NULL,NULL,regular,NULL
Èbá ati Ila Alasepo,Cooked cassava flakes and Okra soup,Yoruba,Nigeria,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Asaro,Yam Porridge,Yoruba,Nigeria,Sothwestern Nigeria,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Isu ati Eyin,Boiled Yam with Fried Eggs or Egg Stew,Yoruba,Nigeria,Southwestern (Nigeria),['breakfast'],['Main dish - stand alone (e.g. one pot meal)'],NULL,"Tea, Water",regular,NULL
"Amala, Gbegiri and Ewedu",NULL,Yoruba,Nigeria,South west,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,Any drink,both,NULL
Ẹfọ Ẹlẹgusi,Vegetable soup with Egusi,Yoruba,Nigeria,South western Nigeria,"['breakfast', 'lunch', 'dinner', 'anytime']",['Main dish - eaten with sides'],NULL,Any,both,NULL
Iyan ati Egusi,Pounded yam and Melon soup,Yoruba,Nigeria,West Africa,"['lunch', 'dinner']","['Soup', 'Main dish - stand alone (e.g. one pot meal)']",NULL,Water,both,"Wedding ceremonies, birthdays, Christmas"
Àmàlà pelu obe Ewédú ati eran meji,Yam flour with Jute Leaves and two small beefs,Yoruba,Nigeria,Southwestern (Nigeria),"['lunch', 'dinner', 'anytime']",['Main dish - eaten with sides'],NULL,"Water, any cold drink.",regular,NULL
Ojojo,Water yam fritters,Yoruba,Nigeria,South-West,"['breakfast', 'snack']","['Starter', 'Small plate / bowl for sharing', 'Dessert']",NULL,NULL,special,"Weddings, Burials, Family celebrations"
Ila Alasepo,Okra Soup,Yoruba,Nigeria,NULL,"['lunch', 'dinner']","['Soup', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Ẹwà Rirọ,Bean Porridge,Yoruba,Nigeria,Southwestern Nigeria,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Iyan àti Ẹfọ Riro,Pounded yam and Vegetables,Yoruba,Nigeria,Yorùbá,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,No,regular,NULL
Olele/ Moi-moi,Steamed beans pudding,Yoruba,Nigeria,South-West,"['breakfast', 'lunch', 'dinner', 'anytime']",['Side dish'],NULL,NULL,both,"Weddings, Funerals, any special holiday"
Àkàrà / Acaraje,Fried beans pudding,Yoruba,"Nigeria, Brazil",Nigeria,"['breakfast', 'lunch', 'dinner', 'snack', 'anytime']",['Side dish'],NULL,NULL,both,Certain funerals
Fumbwa au croupion de dinde fumé,NULL,"Lingala, French","Nigeria, Cameroon, Democratic Republic of the Congo, Republic of the Congo, Gabon","Nord-Ubangi, kinshasa, lubumbashi","['breakfast', 'lunch', 'dinner']","['Starter', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,NULL
Fufu,NULL,Twi,"Nigeria, Cameroon, Ivory Coast",NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,"During yam festival, yam fufu is eaten. Fufu is eaten during festive occasions like naming ceremonies, Christmas. It's eaten at funerals too"
Cocoyam chips,Coco chips,English,"Nigeria, Ghana",NULL,['snack'],['Starter'],NULL,NULL,regular,NULL
Omisagwe,Groundnut soup,Esan,"Nigeria, Ghana",south(Nigeria),"['lunch', 'dinner']","['Soup', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Jollof,NULL,Unknown,"Nigeria, Ghana",Accra,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,Water,both,"Parties (birthdays, anniversaries, funerals)"
Yam and plantain porridge,Yam porridge,English,"Nigeria, Togo, Benin","South West (Nigeria ), Benin Republic,  Togo","['breakfast', 'lunch', 'dinner', 'anytime']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Water,regular,NULL
Ẹwà Agoyin,Mashed beans,Yoruba,"Nigeria, Togo, Benin",NULL,['dinner'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Iyán/ Ruam-Yo,Pounded yam,"Yoruba, Tiv, Ebira","Nigeria, Togo, Benin, Côte d'Ivoire","South-West,  Middle belt (Nigeria)","['lunch', 'dinner']",['Small plate / bowl served as a part of a collection'],NULL,NULL,both,"Weddings, Funerals, Country-wide holidays"
beignet koki / Akara,Cowpea(white beans) Akara,French,"Nigeria, Togo, Cameroon, Ghana",NULL,['anytime'],['Starter'],NULL,any,regular,NULL
Saag,No,Urdu,Pakistan,Na,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,No,regular,NULL
Haleem,Haleem,Bengali,"Pakistan, Bangladesh",NULL,"['breakfast', 'lunch', 'dinner', 'anytime']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Any drink,special,Generally during Eid or Ramadan
سمبوسة,Sambusa or Samosas,Arabic,"Pakistan, Sudan, Syrian Arab Republic, Egypt, India, Lebanon",NULL,['snack'],['Side dish'],NULL,NULL,both,NULL
كبه,Kubbeh,Arabic,"Palestine, Syrian Arab Republic, Jordan, Lebanon",NULL,['snack'],"['Starter', 'Side dish', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,NULL
